Planet,Satellite,Code,Frame,Epoch,a,e,?,M,i,node,P,Papsis,Pnode,R.A.,Dec.,Tilt,
,,,,(TDB),(km),,(deg),(deg),(deg),(deg),(days),(yr),(yr),(deg),(deg),(deg),
Earth,Moon,301,ecliptic ,2000-01-01.5,384400,0.0554,318.15,135.27,5.16,125.08,27.322,5.997,18.6,,,,
Mars,Phobos,401,Laplace ,2000-01-01.5,9375,0.015,216.3,189.7,1.1,169.2,0.3187,1.1,2.3,317.7,52.9,0,
Mars,Deimos,402,Laplace ,2000-01-01.5,23457,0,0,205,1.8,54.3,1.2625,0,56.2,316.6,53.5,0.9,
Jupiter,Io,501,Laplace ,2000-01-01.5,421800,0.004,49.1,330.9,0,0,1.762732,1.333,0,268.1,64.5,0,
Jupiter,Europa,502,Laplace ,2000-01-01.5,671100,0.009,45,345.4,0.5,184,3.525463,1.394,30.202,268.1,64.5,0,
Jupiter,Ganymede,503,Laplace ,2000-01-01.5,1070400,0.001,198.3,324.8,0.2,58.5,7.155588,68.301,137.812,268.2,64.6,0.1,
Jupiter,Callisto,504,Laplace ,2000-01-01.5,1882700,0.007,43.8,87.4,0.3,309.1,16.69044,277.921,577.264,268.7,64.8,0.4,
Jupiter,Amalthea,505,Laplace ,2000-01-01.5,181400,0.003,180.1,310.6,0.4,282.9,0.499918,0.196,0.393,268.1,64.5,0,
Jupiter,Thebe,514,Laplace ,2000-01-01.5,221900,0.018,26.6,182.1,1.1,340.4,0.676105,0.398,0.797,268.1,64.5,0,
Jupiter,Adrastea,515,Laplace ,2000-01-01.5,129000,0,0,214.5,0,0,0.29826,0,0,268.1,64.5,0,
Jupiter,Metis,516,Laplace ,2000-01-01.5,128000,0,0,166,0,0,0.294779,0,0,268.1,64.5,0,
Jupiter,Himalia,506,ecliptic ,2000-01-01.5,11439000,0.16,321.1,78.3,28.4,64.2,249.909,187.4,297.1,,,,
Jupiter,Elara,507,ecliptic ,2000-01-01.5,11710700,0.212,129.9,346.9,27.8,112.8,258.8861,173,270.9,,,,
Jupiter,Pasiphae,508,ecliptic ,2000-01-01.5,23463200,0.412,172.8,279.3,148.3,315.7,734.4215,60.6,79.2,,,,
Jupiter,Sinope,509,ecliptic ,2000-01-01.5,23679300,0.262,354.3,157.4,157.3,308,744.5951,57,93.1,,,,
Jupiter,Lysithea,510,ecliptic ,2000-01-01.5,11699100,0.117,48.3,328.5,27.7,9.2,258.5035,178.9,290.6,,,,
Jupiter,Carme,511,ecliptic ,2000-01-01.5,23139200,0.261,6.5,259.5,164.6,115.5,719.2806,50.9,89,,,,
Jupiter,Ananke,512,ecliptic ,2000-01-01.5,21029500,0.238,78.8,271.7,147.6,13.7,623.1097,80.8,115.5,,,,
Jupiter,Leda,513,ecliptic ,2000-01-01.5,11145200,0.162,271.3,232.6,28.2,216.9,240.3264,194.9,309.4,,,,
Jupiter,Callirrhoe,517,ecliptic ,2000-01-01.5,23789400,0.29,13.5,117.9,144.9,278.2,749.791,70.3,92.7,,,,
Jupiter,Themisto,518,ecliptic ,2000-01-01.5,7397000,0.257,236.3,289.1,44.3,202.7,129.9681,626.4,648.5,,,,
Jupiter,Magaclite,519,ecliptic ,2000-01-01.5,23640100,0.421,309.9,116.1,149.9,292.2,742.7715,55.6,74.1,,,,
Jupiter,Taygete,520,ecliptic ,2000-01-01.5,23103400,0.257,207.7,116.5,164.7,300.8,717.5917,52,91.3,,,,
Jupiter,Chaldene,521,ecliptic ,2000-01-01.5,22926300,0.261,231.6,275.3,164.7,134.5,709.3625,47.3,82.7,,,,
Jupiter,Harpalyke,522,ecliptic ,2000-01-01.5,20887500,0.239,104.3,255.4,147.8,35.6,616.7833,81.2,116.5,,,,
Jupiter,Kalyke,523,ecliptic ,2000-01-01.5,23298000,0.261,240.5,224.9,164.7,37.7,726.7007,47.5,83.1,,,,
Jupiter,Iocaste,524,ecliptic ,2000-01-01.5,21062300,0.223,91.4,182,148.7,268.9,624.5479,79.2,116.3,,,,
Jupiter,Erinome,525,ecliptic ,2000-01-01.5,23027200,0.272,359.9,273.1,164.3,311.2,714.0542,47.5,82.4,,,,
Jupiter,Isonoe,526,ecliptic ,2000-01-01.5,22976300,0.249,131,116.3,164.9,134.1,711.6604,53.2,93.9,,,,
Jupiter,Praxidike,527,ecliptic ,2000-01-01.5,20931100,0.245,182.5,128,148.2,281.3,618.7229,82.5,119.1,,,,
Jupiter,Autonoe,528,ecliptic ,2000-01-01.5,23785200,0.326,61.2,134,150.7,264.8,749.6097,62.8,90.4,,,,
Jupiter,Thyone,529,ecliptic ,2000-01-01.5,20972700,0.235,105.1,242.5,147.6,240.8,620.5875,85.5,122.4,,,,
Jupiter,Hermippe,530,ecliptic ,2000-01-01.5,21103600,0.22,277.2,158.6,150.2,330.3,626.3799,75.1,113.6,,,,
Jupiter,Aitne,531,ecliptic ,2000-01-01.5,23059400,0.273,72.2,120.6,164.5,358.4,715.5396,49.8,86.4,,,,
Jupiter,Eurydome,532,ecliptic ,2000-01-01.5,22894500,0.287,223.4,281.8,148.9,297.7,707.8569,66.9,95.5,,,,
Jupiter,Euanthe,533,ecliptic ,2000-01-01.5,20822900,0.243,312.4,353.5,148.1,265.2,613.9278,81.1,116.9,,,,
Jupiter,Euporie,534,ecliptic ,2000-01-01.5,19261900,0.148,109.5,56.4,145.5,63.4,546.1778,101,143.4,,,,
Jupiter,Orthosie,535,ecliptic ,2000-01-01.5,20897800,0.294,244.7,161.1,144.2,212.4,617.2347,89.5,116.2,,,,
Jupiter,Sponde,536,ecliptic ,2000-01-01.5,23538700,0.323,56.6,177.4,149.4,109.3,737.9542,58.7,82.8,,,,
Jupiter,Kale,537,ecliptic ,2000-01-01.5,23047800,0.262,69.2,175.9,164.6,56.7,715.016,49.1,85.8,,,,
Jupiter,Pasithee,538,ecliptic ,2000-01-01.5,22840800,0.274,207.9,237.8,164.5,318,705.409,52.6,91.3,,,,
Jupiter,Hegemone,539,ecliptic ,2000-01-01.5,23342600,0.357,192.2,241.1,152.5,311.5,728.7743,53.9,78,,,,
Jupiter,Mneme,540,ecliptic ,2000-01-01.5,20815800,0.24,50.1,236.1,147.8,0.9,613.6104,80.1,114.9,,,,
Jupiter,Aoede,541,ecliptic ,2000-01-01.5,23773100,0.437,43.1,207.6,155.7,156.5,749.0708,52.6,75,,,,
Jupiter,Thelxinoe,542,ecliptic ,2000-01-01.5,20972300,0.229,307,275.1,150.7,174.9,620.5458,73.6,111.7,,,,
Jupiter,Arche,543,ecliptic ,2000-01-01.5,23093200,0.263,172.5,34,164.5,333.3,717.1056,51,89,,,,
Jupiter,Kallichore,544,ecliptic ,2000-01-01.5,23017100,0.253,352.6,66.8,164.7,23.9,713.5931,49.1,86.3,,,,
Jupiter,Helike,545,ecliptic ,2000-01-01.5,20911400,0.155,305.1,45.8,154.4,94.6,617.8625,73.5,121.6,,,,
Jupiter,Carpo,546,ecliptic ,2000-01-01.5,17039500,0.415,90.5,336.6,53.3,52.1,454.4,285.1,182,,,,
Jupiter,Eukelade,547,ecliptic ,2000-01-01.5,23062400,0.274,290.1,234.2,164.7,200.4,715.6868,48.5,84.2,,,,
Jupiter,Cyllene,548,ecliptic ,2000-01-01.5,23650000,0.421,174.6,153.3,146.8,253.6,743.2062,65.9,83.4,,,,
Jupiter,Kore,549,ecliptic ,2000-01-01.5,24203300,0.338,135.3,40.6,141.7,324.2,769.4229,71.7,85.6,,,,
Jupiter,Herse,550,ecliptic ,2000-01-01.5,23146700,0.258,344.1,123.1,164.4,299.5,719.6264,50.9,88.9,,,,
Jupiter,S2010_J_1,551,ecliptic ,2000-01-01.5,23185600,0.256,175.6,183.4,164.5,284.7,721.4257,51,89.3,,,,
Jupiter,S2010_J_2,552,ecliptic ,2000-01-01.5,20786900,0.244,28.8,292.5,148,357.3,612.3507,80.5,115.7,,,,
Jupiter,Dia,553,ecliptic ,2000-01-01.5,12257900,0.232,164.1,320.9,29.1,293.9,277.2472,169.8,258.2,,,,
Jupiter,S2016_J_1,554,ecliptic ,2000-01-01.5,20796700,0.245,298.5,215.3,145.1,247.7,612.7812,92.6,125.4,,,,
Jupiter,S2003_J_18,555,ecliptic ,2000-01-01.5,20332800,0.102,86.2,252.5,145.7,166.8,592.3333,91.2,131.6,,,,
Jupiter,S2011_J_2,556,ecliptic ,2000-01-01.5,22903400,0.358,262.9,297.6,151.7,24.9,708.2931,59,84.4,,,,
Jupiter,Eirene,557,ecliptic ,2000-01-01.5,23051300,0.263,86.4,336.7,164.7,180,715.191,50.7,88.6,,,,
Jupiter,Philophrosyn,558,ecliptic ,2000-01-01.5,22600200,0.221,0.9,88.9,146.1,234.3,694.2042,75.6,105.8,,,,
Jupiter,S2017_J_1,559,ecliptic ,2000-01-01.5,23739600,0.321,74.7,250.1,145.6,251.8,747.4382,72.8,95.8,,,,
Jupiter,Eupheme,560,ecliptic ,2000-01-01.5,20763400,0.234,73.6,339.8,147.9,227.5,611.316,85.3,122.9,,,,
Jupiter,S2003_J_19,561,ecliptic ,2000-01-01.5,23153100,0.264,186.8,196.9,164.6,21.9,719.9222,51.6,90.1,,,,
Jupiter,Valetudo,562,ecliptic ,2000-01-01.5,18690100,0.217,316.3,90.5,34.5,291.2,522.0743,106.3,147.1,,,,
Jupiter,S2017_J_2,563,ecliptic ,2000-01-01.5,22949600,0.27,153,278.2,164.5,359.4,710.4208,46.7,81,,,,
Jupiter,S2017_J_3,564,ecliptic ,2000-01-01.5,20936500,0.238,105.7,235.4,147.9,27.9,618.9653,77,110.9,,,,
Jupiter,Pandia,565,ecliptic ,2000-01-01.5,11479600,0.178,188.7,158.5,28.9,249.8,251.2319,187.8,293.3,,,,
Jupiter,S2017_J_5,566,ecliptic ,2000-01-01.5,23202000,0.261,292.5,69.3,164.7,42.3,722.1972,47.7,83.3,,,,
Jupiter,S2017_J_6,567,ecliptic ,2000-01-01.5,23251200,0.333,15.5,146,149.6,312.8,724.4688,62.4,87.8,,,,
Jupiter,S2017_J_7,568,ecliptic ,2000-01-01.5,20960400,0.235,288.7,353,147.4,264.9,620.0167,81.2,115.9,,,,
Jupiter,S2017_J_8,569,ecliptic ,2000-01-01.5,22819600,0.259,330.5,349.4,164.8,97.3,704.4181,53.9,94.6,,,,
Jupiter,S2017_J_9,570,ecliptic ,2000-01-01.5,21764200,0.197,276.4,243.3,155.4,245.3,656.0479,64.5,106.5,,,,
Jupiter,Ersa,571,ecliptic ,2000-01-01.5,11399400,0.117,300.7,270.8,29,113.7,248.6153,192.6,306.2,,,,
Jupiter,S2011_J_1,572,ecliptic ,2000-01-01.5,23120800,0.269,50.4,225.4,164.7,253.5,718.4153,51.7,90.1,,,,
Jupiter,S2003_J_2,55501,ecliptic ,2000-01-01.5,20992900,0.225,170.6,42.3,150.1,348.4,621.4715,79.3,119.2,,,,
Jupiter,S2003_J_4,55502,ecliptic ,2000-01-01.5,22922300,0.327,208.8,216.5,148.3,175.4,709.1229,69.2,95.5,,,,
Jupiter,S2003_J_9,55503,ecliptic ,2000-01-01.5,23195100,0.268,288.4,359.8,164.7,46.3,721.8792,51.2,89.3,,,,
Jupiter,S2003_J_10,55504,ecliptic ,2000-01-01.5,23384400,0.257,187.6,272.8,164.6,155.7,730.7375,51,89.4,,,,
Jupiter,S2003_J_12,55505,ecliptic ,2000-01-01.5,20959300,0.235,66.1,160.7,150,54.1,619.9611,73.3,109.7,,,,
Jupiter,S2003_J_16,55506,ecliptic ,2000-01-01.5,20877500,0.238,55.6,298.2,147.8,5.3,616.3444,83.7,120.1,,,,
Jupiter,S2003_J_23,55507,ecliptic ,2000-01-01.5,23824000,0.306,256.6,140.6,144.4,30.9,751.3993,75.8,98.1,,,,
Jupiter,S2003_J_24,55508,ecliptic ,2000-01-01.5,22882400,0.263,84.1,121.6,164.6,208.7,707.3347,53.4,93.2,,,,
Jupiter,S2011_J_3,55509,ecliptic ,2000-01-01.5,11716800,0.192,134.7,359.4,27.6,123.3,259.0875,174.2,275.8,,,,
Jupiter,S2018_J_2,55510,ecliptic ,2000-01-01.5,11419700,0.152,288.6,115.5,28.3,91.8,249.275,187.8,298.9,,,,
Jupiter,S2018_J_3,55511,ecliptic ,2000-01-01.5,23400200,0.268,177.5,279,164.9,135.7,731.4875,50.1,87.3,,,,
Jupiter,S2021_J_1,55512,ecliptic ,2000-01-01.5,20954700,0.228,20.6,129.1,150.5,241.1,619.7687,78.1,118.4,,,,
Jupiter,S2021_J_2,55513,ecliptic ,2000-01-01.5,20926600,0.242,25.9,110.8,148.1,269.5,618.5028,79.2,114.1,,,,
Jupiter,S2021_J_3,55514,ecliptic ,2000-01-01.5,20776600,0.239,218.6,167.9,147.9,141.7,611.8736,84,120.7,,,,
Jupiter,S2021_J_4,55515,ecliptic ,2000-01-01.5,23019700,0.265,140.5,218.9,164.6,129.9,713.7056,51.5,89.8,,,,
Jupiter,S2021_J_5,55516,ecliptic ,2000-01-01.5,23414600,0.272,273.4,236.5,164.9,154.4,732.1528,50.6,88.1,,,,
Jupiter,S2021_J_6,55517,ecliptic ,2000-01-01.5,22870400,0.271,146.2,208.5,164.9,87.2,706.7653,46.9,81.7,,,,
Jupiter,S2016_J_3,55518,ecliptic ,2000-01-01.5,22719300,0.251,94.7,59.1,164.6,36.8,699.7583,53.4,93.9,,,,
Jupiter,S2016_J_4,55519,ecliptic ,2000-01-01.5,23113900,0.294,249.4,217.5,147.1,203.2,718.0382,68.6,94.5,,,,
Jupiter,S2018_J_4,55520,ecliptic ,2000-01-01.5,16328500,0.177,285,138.3,50.2,52.1,426.2646,297.2,239.7,,,,
Jupiter,S2022_J_1,55521,ecliptic ,2000-01-01.5,22744700,0.257,232.4,42.2,164.5,310.9,700.9333,50.2,87.8,,,,
Jupiter,S2022_J_2,55522,ecliptic ,2000-01-01.5,23073400,0.263,357,98.9,164.7,47.7,716.2104,48.3,84.3,,,,
Jupiter,S2022_J_3,55523,ecliptic ,2000-01-01.5,21015100,0.248,351.6,271.7,148.1,233.1,622.4361,83.4,119.9,,,,
Jupiter,S2017_J_10,55525,ecliptic ,2000-01-01.5,21075800,0.209,195.3,157.7,145.1,329.6,625.1493,91.1,125.6,,,,
Jupiter,S2017_J_11,55526,ecliptic ,2000-01-01.5,22991300,0.268,25.5,236.9,164.8,134.9,712.3826,52.3,91.2,,,,
Saturn,Mimas,601,Laplace ,2000-01-01.5,186000,0.02,160.4,275.3,1.6,66.2,0.942422,0.493,0.986,40.6,83.5,0,
Saturn,Enceladus,602,Laplace ,2000-01-01.5,238400,0.005,119.5,57,0,0,1.370218,2.916,0,40.6,83.5,0,
Saturn,Tethys,603,Laplace ,2000-01-01.5,295000,0.001,335.3,0,1.1,273,1.887802,0.005,4.982,40.6,83.5,0,
Saturn,Dione,604,Laplace ,2000-01-01.5,377700,0.002,116,212,0,0,2.736916,11.698,0,40.6,83.5,0,
Saturn,Rhea,605,Laplace ,2000-01-01.5,527200,0.001,44.3,31.5,0.3,133.7,4.517503,33.939,35.775,40.6,83.5,0,
Saturn,Titan,606,Laplace ,2000-01-01.5,1221900,0.029,78.3,11.7,0.3,78.6,15.945448,346.68,687.37,36.4,84,0.6,
Saturn,Hyperion,607,Laplace ,2000-01-01.5,1481500,0.105,214,122.9,0.6,87.1,21.276658,20.843,257.625,40.2,83.6,0.1,
Saturn,Iapetus,608,Laplace ,2000-01-01.5,3561700,0.028,254.5,74.8,7.6,86.5,79.331002,1662.9,3130.302,288.7,78.9,14.8,
Saturn,Phoebe,609,Laplace ,2000-01-01.5,12929400,0.164,240.3,308,175.2,192.7,550.30391,468.321,741.483,276,67.5,26.7,
Saturn,Helene,612,Laplace ,2000-01-01.5,377600,0.007,194.3,-64.5,0.2,260.8,2.736916,5.825,11.707,40.6,83.5,0,
Saturn,Telesto,613,Laplace ,2000-01-01.5,295000,0.001,66.2,360,1.2,242.1,1.887802,0.005,4.982,40.6,83.5,0,
Saturn,Calypso,614,Laplace ,2000-01-01.5,295000,0.001,221.6,0,1.5,326.6,1.887803,0.005,4.983,40.6,83.5,0,
Saturn,Methone,632,Laplace ,2000-01-01.5,194700,0.002,315.5,0,0,0,1.009549,0.003,0,40.6,83.5,0,
Saturn,Polydeuces,634,Laplace ,2000-01-01.5,377600,0.019,94.1,359,0.2,167.5,2.736916,5.81,11.692,40.6,83.5,0,
Saturn,Janus,610,Laplace ,2000-01-01.5,151500,0.007,11.1,111.7,0.2,159.9,0.697353,0.24,0.482,40.6,83.5,0,
Saturn,Epimetheus,611,Laplace ,2000-01-01.5,151400,0.02,96.3,197.2,0.3,189.8,0.697012,0.24,0.482,40.6,83.5,0,
Saturn,Atlas,615,Laplace ,2000-01-01.5,137700,0.001,82.3,289.1,0,0,0.604602,0.342,0,40.6,83.5,0,
Saturn,Prometheus,616,Laplace ,2000-01-01.5,139400,0.002,341.9,135.4,0,0,0.615878,0.357,0,40.6,83.5,0,
Saturn,Pandora,617,Laplace ,2000-01-01.5,141700,0.004,217.9,123.9,0,0,0.631369,0.379,0,40.6,83.5,0,
Saturn,Pan,618,Laplace ,2000-01-01.5,133600,0,0,146.6,0,0,0.575051,0,0,40.6,83.5,0,
Saturn,Pallene,633,Laplace ,2000-01-01.5,212300,0.004,194.9,2,0.2,304.3,1.156059,0.79,1.582,40.6,83.5,0,
Saturn,Daphnis,635,Laplace ,2000-01-01.5,136500,0,0,153.6,0,0,0.59408,0,0,40.6,83.5,0,
Saturn,Anthe,649,Laplace ,2000-01-01.5,198100,0.002,293.4,351.4,0,0,1.038898,1.19,0,40.6,83.5,0,
Saturn,Aegaeon,653,Laplace ,2000-01-01.5,167500,0,0,4.4,0,0,0.808115,0,0,40.6,83.5,0,
Saturn,Ymir,619,ecliptic ,2000-01-01.5,22955600,0.338,45.3,167.5,172.3,204.5,1298.6819,154.5,267.8,,,,
Saturn,Paaliaq,620,ecliptic ,2000-01-01.5,14997700,0.378,237.6,318.2,48.5,353.2,685.7153,846.2,704.4,,,,
Saturn,Tarvos,621,ecliptic ,2000-01-01.5,18216600,0.522,282.9,64.5,37.8,95.7,917.984,327.3,352,,,,
Saturn,Ijiraq,622,ecliptic ,2000-01-01.5,11344700,0.293,68.6,83.4,49.2,152.5,451.1201,1480.8,1223,,,,
Saturn,Suttungr,623,ecliptic ,2000-01-01.5,19391900,0.116,65,171,175.7,253.2,1008.2451,205,401.5,,,,
Saturn,Kiviuq,624,ecliptic ,2000-01-01.5,11307400,0.275,91.8,183.2,48,352.7,448.9076,1376.4,1214.7,,,,
Saturn,Mundilfari,625,ecliptic ,2000-01-01.5,18588200,0.211,305.4,299,167.1,79.2,946.2903,227,414.2,,,,
Saturn,Albiorix,626,ecliptic ,2000-01-01.5,16329200,0.482,62.8,155,36.8,111.1,779.0701,384.4,434.3,,,,
Saturn,Skathi,627,ecliptic ,2000-01-01.5,15575400,0.281,202.3,269.3,151.6,284.1,725.7313,374.9,561.8,,,,
Saturn,Erriapus,628,ecliptic ,2000-01-01.5,17506900,0.475,279.8,14.3,37.1,146.2,864.9236,362.1,407.8,,,,
Saturn,Siarnaq,629,ecliptic ,2000-01-01.5,17881100,0.308,68.4,62.7,47.8,64,892.6799,680.6,598.3,,,,
Saturn,Thrymr,630,ecliptic ,2000-01-01.5,20330500,0.467,92.2,216.2,175,247.3,1082.2292,166.6,263.3,,,,
Saturn,Narvi,631,ecliptic ,2000-01-01.5,19285000,0.441,177.9,111.5,142.2,179,999.9417,323.7,367.6,,,,
Saturn,Aegir,636,ecliptic ,2000-01-01.5,20664400,0.255,244.7,23.5,166.1,181.9,1109.1278,196.6,348.4,,,,
Saturn,Bebhionn,637,ecliptic ,2000-01-01.5,17027300,0.459,5.1,128.4,38.6,197.7,829.6437,409.2,451,,,,
Saturn,Bergelmir,638,ecliptic ,2000-01-01.5,19268100,0.145,133.9,255.7,158.8,207.9,998.6187,246.1,430.9,,,,
Saturn,Bestla,639,ecliptic ,2000-01-01.5,20337800,0.486,85.6,33.1,138.3,283,1082.9444,333.3,333.6,,,,
